spN	primary_lifestyle	species
Absidia_anomala_sp1	soil_saprotroph	Absidia_anomala_sp1
Absidia_anomala_sp2	soil_saprotroph	Absidia_anomala_sp2
Absidia_anomala_sp3	soil_saprotroph	Absidia_anomala_sp3
Absidia_anomala_sp4	soil_saprotroph	Absidia_anomala_sp4
Absidia_anomala_sp5	soil_saprotroph	Absidia_anomala_sp5
Absidia_glauca_sp1	soil_saprotroph	Absidia_glauca_sp1
Absidia_glauca_sp3	soil_saprotroph	Absidia_glauca_sp3
Absidia_glauca_sp4	soil_saprotroph	Absidia_glauca_sp4
Absidia_pseudocylindrospora_sp1	soil_saprotroph	Absidia_pseudocylindrospora_sp1
Absidia_pseudocylindrospora_sp2	soil_saprotroph	Absidia_pseudocylindrospora_sp2
Absidia_psychrophilia_sp3	soil_saprotroph	Absidia_psychrophilia_sp3
Absidia_psychrophilia_sp4	soil_saprotroph	Absidia_psychrophilia_sp4
Absidia_psychrophilia_sp6	soil_saprotroph	Absidia_psychrophilia_sp6
Absidia_psychrophilia_sp7	soil_saprotroph	Absidia_psychrophilia_sp7
Absidia_psychrophilia_sp8	soil_saprotroph	Absidia_psychrophilia_sp8
Absidia_sp1	soil_saprotroph	Absidia_sp1
Absidia_sp10	soil_saprotroph	Absidia_sp10
Absidia_sp11	soil_saprotroph	Absidia_sp11
Absidia_sp12	soil_saprotroph	Absidia_sp12
Absidia_sp14	soil_saprotroph	Absidia_sp14
Absidia_sp15	soil_saprotroph	Absidia_sp15
Absidia_sp16	soil_saprotroph	Absidia_sp16
Absidia_sp17	soil_saprotroph	Absidia_sp17
Absidia_sp18	soil_saprotroph	Absidia_sp18
Absidia_sp2	soil_saprotroph	Absidia_sp2
Absidia_sp20	soil_saprotroph	Absidia_sp20
Absidia_sp21	soil_saprotroph	Absidia_sp21
Absidia_sp22	soil_saprotroph	Absidia_sp22
Absidia_sp23	soil_saprotroph	Absidia_sp23
Absidia_sp24	soil_saprotroph	Absidia_sp24
Absidia_sp3	soil_saprotroph	Absidia_sp3
Absidia_sp4	soil_saprotroph	Absidia_sp4
Absidia_sp5	soil_saprotroph	Absidia_sp5
Absidia_sp6	soil_saprotroph	Absidia_sp6
Absidia_sp9	soil_saprotroph	Absidia_sp9
Abundisporus_sp1	wood_saprotroph	Abundisporus_sp1
Acanthocorticium_brueggemannii_sp1	wood_saprotroph	Acanthocorticium_brueggemannii_sp1
Acanthocorticium_brueggemannii_sp2	wood_saprotroph	Acanthocorticium_brueggemannii_sp2
Acanthocorticium_sp1	wood_saprotroph	Acanthocorticium_sp1
Acarosporales_sp1	unknown	Acarosporales_sp1
Acarosporales_sp2	unknown	Acarosporales_sp2
Acarosporales_sp3	unknown	Acarosporales_sp3
Acarosporales_sp5	unknown	Acarosporales_sp5
Acarosporales_sp6	unknown	Acarosporales_sp6
Acaulospora_alpina_sp1	arbuscular_mycorrhizal	Acaulospora_alpina_sp1
Acaulospora_alpina_sp2	arbuscular_mycorrhizal	Acaulospora_alpina_sp2
Acaulospora_alpina_sp3	arbuscular_mycorrhizal	Acaulospora_alpina_sp3
Acaulospora_alpina_sp4	arbuscular_mycorrhizal	Acaulospora_alpina_sp4
Acaulospora_alpina_sp6	arbuscular_mycorrhizal	Acaulospora_alpina_sp6
Acaulospora_brasiliensis_sp2	arbuscular_mycorrhizal	Acaulospora_brasiliensis_sp2
Acaulospora_lacunosa_sp1	arbuscular_mycorrhizal	Acaulospora_lacunosa_sp1
Acaulospora_lacunosa_sp2	arbuscular_mycorrhizal	Acaulospora_lacunosa_sp2
Acaulospora_lacunosa_sp3	arbuscular_mycorrhizal	Acaulospora_lacunosa_sp3
Acaulospora_scrobiculata_sp1	arbuscular_mycorrhizal	Acaulospora_scrobiculata_sp1
Acaulospora_scrobiculata_sp2	arbuscular_mycorrhizal	Acaulospora_scrobiculata_sp2
Acaulospora_scrobiculata_sp3	arbuscular_mycorrhizal	Acaulospora_scrobiculata_sp3
Acaulospora_sp1	arbuscular_mycorrhizal	Acaulospora_sp1
Acaulospora_sp11	arbuscular_mycorrhizal	Acaulospora_sp11
Acaulospora_sp13	arbuscular_mycorrhizal	Acaulospora_sp13
Acaulospora_sp14	arbuscular_mycorrhizal	Acaulospora_sp14
Acaulospora_sp15	arbuscular_mycorrhizal	Acaulospora_sp15
Acaulospora_sp16	arbuscular_mycorrhizal	Acaulospora_sp16
Acaulospora_sp17	arbuscular_mycorrhizal	Acaulospora_sp17
Acaulospora_sp18	arbuscular_mycorrhizal	Acaulospora_sp18
Acaulospora_sp19	arbuscular_mycorrhizal	Acaulospora_sp19
Acaulospora_sp2	arbuscular_mycorrhizal	Acaulospora_sp2
Acaulospora_sp20	arbuscular_mycorrhizal	Acaulospora_sp20
Acaulospora_sp3	arbuscular_mycorrhizal	Acaulospora_sp3
Acaulospora_sp4	arbuscular_mycorrhizal	Acaulospora_sp4
Acaulospora_sp5	arbuscular_mycorrhizal	Acaulospora_sp5
Acaulospora_sp6	arbuscular_mycorrhizal	Acaulospora_sp6
Acaulospora_sp7	arbuscular_mycorrhizal	Acaulospora_sp7
Acaulospora_sp8	arbuscular_mycorrhizal	Acaulospora_sp8
Acaulospora_sp9	arbuscular_mycorrhizal	Acaulospora_sp9
Acaulosporaceae_sp1	arbuscular_mycorrhizal	Acaulosporaceae_sp1
Acephala_sp1	soil_saprotroph	Acephala_sp1
