SPPN	primary_lifestyle	species
Aaosphaeria_arxii_1	soil_saprotroph	Aaosphaeria_arxii_1
Aaosphaeria_arxii_3	soil_saprotroph	Aaosphaeria_arxii_3
Aaosphaeria_arxii_4	soil_saprotroph	Aaosphaeria_arxii_4
Aaosphaeria_arxii_5	soil_saprotroph	Aaosphaeria_arxii_5
Aaosphaeria_arxii_6	soil_saprotroph	Aaosphaeria_arxii_6
Aaosphaeria_arxii_7	soil_saprotroph	Aaosphaeria_arxii_7
Absconditella_lignicola_1	lichenized	Absconditella_lignicola_1
Absconditella_sp_1	lichenized	Absconditella_sp_1
Absconditella_sp_2	lichenized	Absconditella_sp_2
Absconditella_sp_3	lichenized	Absconditella_sp_3
Absconditella_sp_4	lichenized	Absconditella_sp_4
Absconditella_sp_5	lichenized	Absconditella_sp_5
Absconditella_sp_6	lichenized	Absconditella_sp_6
Absconditella_sp_8	lichenized	Absconditella_sp_8
Absconditella_sp_9	lichenized	Absconditella_sp_9
Absconditella_sp_10	lichenized	Absconditella_sp_10
Absconditonia_rubra_1	#N/A	Absconditonia_rubra_1
Absconditonia_sublignicola_1	#N/A	Absconditonia_sublignicola_1
Absidia_anomala_1	soil_saprotroph	Absidia_anomala_1
Absidia_anomala_2	soil_saprotroph	Absidia_anomala_2
Absidia_frigida_1	soil_saprotroph	Absidia_frigida_1
Absidia_frigida_2	soil_saprotroph	Absidia_frigida_2
Absidia_frigida_3	soil_saprotroph	Absidia_frigida_3
Absidia_fusca_2	soil_saprotroph	Absidia_fusca_2
Absidia_glauca_3	soil_saprotroph	Absidia_glauca_3
Absidia_glauca_5	soil_saprotroph	Absidia_glauca_5
Absidia_glauca_6	soil_saprotroph	Absidia_glauca_6
Absidia_longissima_1	soil_saprotroph	Absidia_longissima_1
Absidia_longissima_2	soil_saprotroph	Absidia_longissima_2
Absidia_longissima_4	soil_saprotroph	Absidia_longissima_4
Absidia_longissima_5	soil_saprotroph	Absidia_longissima_5
Absidia_longissima_6	soil_saprotroph	Absidia_longissima_6
Absidia_longissima_7	soil_saprotroph	Absidia_longissima_7
Absidia_longissima_8	soil_saprotroph	Absidia_longissima_8
