SampleID	name	Bray_Group	Latitude	Longitude	State	Location	Subsamples	Area_m2	Last_fire_y_ago	Collection_date	Biome	Bioregion	Ecoregion	Vegetation	delta15N	N_conc	P_conc	Abundance	Richness	Altitude	Precipitation	Ph	Temperature
G5134	G5134_Bella_Flor_1	I	20.86	-90.14	Yucatan	Bella_Flor_1	40	2500	40	03/07/2019	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Tropical_Rainforest	2.045543746	17.85730444	48.51033732	6224	703	2	1000	8.4	27
G5135	G5135_Villa_Madero_Campeche	I	19.77	-90.55	Campeche	Villa_Madero_Campeche	40	2500	50	03/07/2019	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	Tropical_Dry_Forest	3.035507757	8.724105745	30.86174944	5254	1216	61	1000	8.6	27
G5136	G5136_Noham	I	19.08	-91.06	Campeche	Noham	40	2500	100	03/07/2019	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Mesoamerican Gulf-Caribbean Mangroves.	Mangroove	-0.588737984	5.651195464	77.43915553	4597	998	1	1350	7.7	27
G5137	G5137_Chichen_Itza	I	20.68	-88.57	Yucatan	Chichen_Itza	40	2500	100	05/07/2019	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Tropical_Sub-perennial_Forest	3.410946695	11.13544978	34.99083086	3416	1006	29	1000	7.6	25
G5138	G5138_Kax_Ek	I	20.75	-88.47	Yucatan	Kax_Ek	40	2500	100	05/07/2019	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Tropical_Sub-perennial_Forest	3.70079034	7.7779189	0.390965035	3639	873	15	1000	8.2	25
G5139	G5139_Villa_Cielo_Cozumel	VI	20.26	-87.39	Quintana Roo	Villa_Cielo_Cozumel	40	2500	100	06/07/2019	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Coastal_Dune	3.593704534	3.214139761	63.39815505	3653	442	1	1350	7.6	25
MX10	MX10_Mariposa_Monarca	III	19.67	-100.29	Michoacan	Mariposa_Monarca	40	2500	100	23/01/2015	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Abies_Forest	-0.944126969	11.96257352	2.273988439	4896	979	3279	1000	6	11
MX15	MX15_Huatulco	II	15.8	-96.11	Oaxaca	Huatulco	40	2500	100	31/01/2015	shrubland: tropical shrubland biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Dry_Forest	6.892136755	5.362251399	57.7893627	7617	1863	71	1000	6.5	27
MX16	MX16_Ixtlan_1	VIII	17.34	-96.47	Oaxaca	Ixtlan_1	40	2500	100	01/02/2015	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Sierra Madre de Oaxaca Pine-Oak Forests	Mixed_Forest	1.491984488	6.298477276	1.025604964	11986	1766	2476	1000	5.7	15
MX17	MX17_Cuicatlan	VII	18.16	-97.3	Puebla	Cuicatlan	40	2500	100	02/02/2015	shrubland: xeric shrubland biome	Mexican Dry & Coniferous Forests Bioregion	Tehuacán Valley Matorral	Xeric Shrubland	6.239017281	7.613545519	195.1327767	2213	782	1092	500	7.6	23
MX18	MX18_El_Zembo	VIII	20.16	-98.55	Hidalgo	El_Zembo	40	2500	100	25/02/2015	forest: subtropical coniferous forest biome	Sierra Madre Forests and Mexican drylands bioregion	Sierra Madre Oriental Pine-Oak Forests	Mixed_Forest	-0.608720258	5.068572715	3.474033149	6499	1468	2206	1000	6.2	15
MX19	MX19_Tizapan	VIII	20.64	-98.6	Hidalgo	Tizapan	40	2500	100	26/02/2015	forest: subtropical broadleaf forest biome	Sierra Madre Forests and Mexican drylands bioregion	Central Mexican Matorral	Quercus_Forest	-1.689381497	18.27638838	16.5248053	10106	1811	2002	1750	5.5	11
MX1a	MX1a_Chamela	II	19.51	-105.05	Jalisco	Chamela	40	2500	100	01/11/2014	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Jalisco Dry Forests	Tropical_Dry_Forest	5.729809634	6.215939157	19.8697487	2652	809	53	700	6.2	25
MX20	MX20_Meztitlan	VII	20.48	-98.67	Hidalgo	Meztitlan	40	2500	100	26/02/2015	shrubland: montane shrubland biome	Sierra Madre Forests and Mexican drylands bioregion	Sierra Madre Oriental Pine-Oak Forests	Xeric Shrubland	5.614136712	4.089462138	190.4993728	5219	1382	1505	500	8.2	17
MX21	MX21_Ixtlan_2	IV	17.39	-96.45	Oaxaca	Ixtlan_2	40	2500	100	08/11/2018	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Sierra Madre de Oaxaca Pine-Oak Forests	Pine_Forest	6.269805486	1.45549811	34.48448276	20427	962	2839	3250	5.5	11
MX22	MX22_Ixtlan_3	IV	17.39	-96.46	Oaxaca	Ixtlan_3	40	2500	100	08/11/2018	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Sierra Madre de Oaxaca Pine-Oak Forests	Pine_Forest	6.147724406	2.738892265	24.21178261	4663	523	3074	2250	5.3	11
MX23	MX23_Iztaccihuatl	III	19.13	-98.66	Estado de Mexico	Iztaccihuatl	40	2500	100	01/01/2019	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Pine_Forest	5.146790868	3.558245993	65.08227245	13321	1872	3757	1000	5.8	9
MX24	MX24_Puerto_Escondido	II	15.91	-97.08	Oaxaca	Puerto_Escondido	40	2500	100	01/06/2019	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Dry_Forest	3.637290529	2.57435113	10.15282977	11446	1879	139	1000	7	25
MX25	MX25_Ocote	VIII	16.88	-93.45	Chiapas	Ocote	40	2500	100	06/05/2016	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Petén-Veracruz moist forests	Mixed_Forest	5.57236789	2.86858827	2.005184447	2720	699	951	1750	7.5	23
MX28	MX28_Calakmul	I	18.23	-89.8	Campeche	Calakmul	40	2500	100	04/05/2016	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	Tropical_Sub-perennial_Forest	0.940749701	3.231817539	19.34782609	8446	1440	304	1000	8	25
MX29	MX29_Agua_blanca	V	17.62	-92.47	Tabasco	Agua_blanca	40	2500	100	03/05/2016	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Mesoamerican Gulf-Caribbean Mangroves.	Tropical_Rainforest	1.346758939	4.68344486	14.95400472	6200	1689	189	3250	5.9	25
MX2b	MX2b_Zempoala	III	19.05	-99.31	Morelos	Zempoala	40	2500	100	08/01/2015	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Abies_Forest	0.507541719	10.31534484	1.414736842	11369	2562	2870	1350	5.6	11
MX3	MX3_Libres	VIII	19.39	-97.7	Tlaxcala	Libres	40	2500	100	12/01/2015	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Tehuacán Valley Matorral	Mixed_Forest	0.043368303	1.598363066	2.240895649	7783	1773	2602	700	7.2	13
MX30	MX30_Bonampak	V	16.81	-91.11	Chiapas	Bonampak	40	2500	100	05/05/2016	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Petén-Veracruz moist forests	Tropical_Rainforest	0.537016563	5.210405766	0.346462715	7273	1837	380	3250	6.2	23
