SampleID	sample	Latitude	longitude	Area	Pais	Estado	Zona	Localidad	subsamples	area_m2	Last_fire_y_ago	collection_date	biome	bioregion	ecoregion	Bray_Group	vegetacion	nativeness	warning	delta15N	N_conc_g_kg	P_conc_mg_kg	abund	richness	mold_Eurotiales_Abundance	mold_Mortierellales_Abundance	mold_Mucorales_Abundance	mold_Trichoderma_Abundance	mold_Umbelopsidales_Abundance
MX8_Tequila_1	MX8	20.81	-103.86	Mexico:Jalisco:Tequila1	MÃ©xico	Jalisco	Tequila	Tequila_1	40	2500	100	42026	forest: subtropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	IX	Bosque_de_Encino			-0.246252353	7.670124399	2.407653061	5411	1145	1.256699316	0.831639253	0.166327851	0.609868786	4.601737202
MX9_Tequila_2	MX9	20.83	-103.85	Mexico:Jalisco:Tequila2	MÃ©xico	Jalisco	Tequila	Tequila_2	40	2500	100	42026	forest: subtropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	IX	Bosque_de_Encino			-0.372240634	4.166774959	2.978755365	5667	1216	0.829362979	0.723486854	0.052938062	0.952885124	0.794070937
MX7_Cuitzeo	MX7	19.62	-101.33	Mexico:MichoacÃ¡n:Cuitzeo	MÃ©xico	MichoacÃ¡n	Joya de la Huerta	Cuitzeo	40	2500	100	42025	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	IX	Bosque_de_Encino			1.06879178	7.221381606	1.697104072	6687	1460	0.463586063	1.480484522	0.149543891	0.059817556	0.059817556
MX18_El_Zembo	MX18	20.16	-98.55	Mexico:Hidalgo:El Zembo	MÃ©xico	Hidalgo	Ixtula Sembo	El_Zembo	40	2500	100	42060	forest: subtropical coniferous forest biome	Sierra Madre Forests and Mexican drylands bioregion	Sierra Madre Oriental Pine-Oak Forests	IX	Bosque_de_Encino_Mesofilo_de_Montana			-0.608720258	5.068572715	3.474033149	6499	1468	0	1.369441453	0.123095861	0.200030774	1.092475766
MX19_Tizapan	MX19	20.64	-98.6	Mexico:Hidalgo:Tizapan	MÃ©xico	Hidalgo	TizapÃ¡n	Tizapan	40	2500	100	42061	forest: subtropical broadleaf forest biome	Sierra Madre Forests and Mexican drylands bioregion	Central Mexican Matorral	IX	Bosque_de_Encino_Mesofilo_de_Montana			-1.689381497	18.27638838	16.5248053	10106	1811	0.10884623	6.619829804	0.049475559	3.027904215	0.484860479
S915_Rancho_Calimayor	S915	16.55	-93.88	Mexico:Chiapas:Rancho Calimayor	MÃ©xico	Chiapas	Coronel Luis Espinosa	Rancho_Calimayor	40	2500	100	43441	forest: tropical broadleaf forest biome	Central american Mixed forests bioregion	Chiapas Depression Dry Forests	VIII	Bosque_de_Encino_Selva_Baja			3.458522014	4.34374939	0.845460818	7855	1024	3.2718014	0.114576703	0.076384468	0.534691279	0
MX10_Mariposa_Monarca	MX10	19.67	-100.29	Mexico:MichoacÃ¡n:Mariposa Monarca	MÃ©xico	MichoacÃ¡n	Santuario Mariposa Monarca	Mariposa_Monarca	40	2500	100	42027	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	III	Bosque_de_Oyamel			-0.944126969	11.96257352	2.273988439	4896	979	1.429738562	10.84558824	0.081699346	0.306372549	0.12254902
MX5_El_Zarco_3	MX5	19.27	-99.36	Mexico:Estado de Mexico:El Zarco	MÃ©xico	Estado de MÃ©xico	La Marquesa	El_Zarco_3	40	2500	100	42018	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	III	Bosque_de_Oyamel			-1.357435517	9.417479702	2.790975369	5096	1327	0.412087912	13.57927786	0.176609105	0.156985871	0.156985871
S909_El_Zarco_2	S909	19.28	-99.37	Mexico:Edomex:El Zarco	MÃ©xico	Estado de MÃ©xico	Valle del silencio	El_Zarco_2	40	2500	100	43430	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	III	Bosque_de_Oyamel			0.173457181	9.123239862	37.76552113	6318	1132	0.269072491	7.043368154	0.300728079	0.015827794	0
MX23_Iztaccihuatl	MX23	19.13	-98.66	Mexico:Estado de MÃ©xico:Iztaccihuatl	MÃ©xico	Estado de MÃ©xico	Amecameca de Juarez	Iztaccihuatl	40	2500	100	43466	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	III	Bosque_de_Pino			5.146790868	3.558245993	65.08227245	13321	1872	0.900833271	7.521957811	0.367840252	0.21019443	4.121312214
